task,prep_time_min,driver_dist_km,traffic_index,driver_eta_min,food_prep_progress,food_temp_c,outcome
easy,14.67,2.97,1.09,6.5,0.9781,75.0,hot
easy,14.67,3.65,1.26,9.19,0.9777,75.0,hot
easy,16.73,3.59,1.24,8.93,1.0,75.0,hot
easy,16.74,3.22,1.28,8.26,1.0,75.0,hot
easy,14.7,3.03,1.13,6.86,0.9802,75.0,hot
easy,15.99,2.41,1.28,6.16,1.0,75.0,hot
easy,14.81,3.59,1.28,9.14,0.9873,75.0,hot
easy,16.82,3.37,1.04,7.02,1.0,75.0,hot
easy,14.93,2.41,1.15,5.54,0.9955,75.0,hot
easy,16.51,3.32,1.13,7.5,1.0,75.0,hot
easy,13.99,3.02,1.08,6.51,0.9324,75.0,hot
easy,14.33,3.16,1.32,8.3,0.9553,75.0,hot
easy,15.61,1.85,1.23,4.56,1.0,75.0,hot
easy,15.07,3.21,1.36,8.73,1.0,75.0,hot
easy,12.94,2.7,1.26,6.81,0.8625,75.0,hot
easy,13.42,3.74,1.24,9.25,0.8946,75.0,hot
easy,15.85,2.71,1.28,6.96,1.0,75.0,hot
easy,16.07,3.12,1.22,7.63,1.0,75.0,hot
easy,15.27,2.57,1.19,6.09,1.0,75.0,hot
easy,14.85,3.19,1.3,8.3,0.9898,75.0,hot
easy,13.94,2.94,1.35,7.92,0.9294,75.0,hot
easy,14.26,2.59,1.22,6.32,0.9504,75.0,hot
easy,15.84,3.01,1.33,8.01,1.0,75.0,hot
easy,15.86,3.42,1.26,8.59,1.0,75.0,hot
easy,17.33,2.9,1.0,5.79,1.0,75.0,hot
easy,16.6,2.77,1.21,6.71,1.0,75.0,hot
easy,16.31,2.2,1.07,4.73,1.0,75.0,hot
easy,13.4,2.6,1.24,6.48,0.8932,75.0,hot
easy,15.52,3.14,1.06,6.64,1.0,75.0,hot
easy,12.69,3.03,1.15,6.98,0.846,75.0,hot
easy,15.46,3.35,1.21,8.13,1.0,75.0,hot
easy,15.76,3.11,1.25,7.81,1.0,75.0,hot
easy,14.3,2.91,1.22,7.1,0.953,75.0,hot
easy,15.82,2.8,1.25,7.02,1.0,75.0,hot
easy,14.73,2.94,1.28,7.55,0.9823,75.0,hot
easy,13.01,2.35,1.05,4.95,0.8671,75.0,hot
easy,12.67,2.66,1.27,6.78,0.8444,75.0,hot
easy,14.72,3.1,1.31,8.11,0.981,75.0,hot
easy,16.33,2.97,1.34,7.92,1.0,75.0,hot
easy,15.09,2.58,1.14,5.89,1.0,75.0,hot
easy,13.52,2.56,1.16,5.95,0.9013,75.0,hot
easy,15.8,3.86,1.06,8.2,1.0,75.0,hot
easy,15.39,2.48,1.25,6.19,1.0,75.0,hot
easy,14.87,2.08,1.29,5.39,0.9913,75.0,hot
easy,14.39,2.73,1.09,5.97,0.9597,75.0,hot
easy,14.35,3.21,1.18,7.59,0.9564,75.0,hot
easy,15.33,3.18,1.33,8.47,1.0,75.0,hot
easy,14.66,2.26,1.31,5.91,0.9771,75.0,hot
easy,14.67,3.56,1.24,8.81,0.9779,75.0,hot
easy,14.87,3.17,1.4,8.86,0.9913,75.0,hot
easy,17.08,3.03,1.22,7.38,1.0,75.0,hot
easy,16.08,2.58,1.23,6.36,1.0,75.0,hot
easy,14.97,3.16,1.12,7.05,0.9983,75.0,hot
easy,13.41,1.96,1.09,4.27,0.894,75.0,hot
easy,14.54,2.85,1.39,7.95,0.9694,75.0,hot
easy,16.11,2.52,1.23,6.22,1.0,75.0,hot
easy,14.59,2.86,1.22,6.96,0.9729,75.0,hot
easy,15.62,2.83,1.31,7.4,1.0,75.0,hot
easy,13.86,3.0,1.46,8.77,0.9239,75.0,hot
easy,15.22,3.72,1.21,8.99,1.0,75.0,hot
easy,15.58,2.97,1.18,7.03,1.0,75.0,hot
easy,14.22,3.22,1.11,7.17,0.948,75.0,hot
easy,15.67,3.54,1.24,8.76,1.0,75.0,hot
easy,14.71,3.23,1.17,7.55,0.9809,75.0,hot
easy,15.94,2.08,1.17,4.86,1.0,75.0,hot
easy,13.01,2.25,1.34,6.02,0.8673,75.0,hot
easy,15.9,2.64,1.05,5.54,1.0,75.0,hot
easy,12.04,2.73,1.44,7.87,0.8024,75.0,hot
easy,15.43,2.72,1.25,6.78,1.0,75.0,hot
easy,13.44,2.85,1.21,6.9,0.8959,75.0,hot
easy,14.91,3.4,1.23,8.38,0.9943,75.0,hot
easy,15.67,2.66,1.29,6.85,1.0,75.0,hot
easy,16.63,2.51,1.11,5.59,1.0,75.0,hot
easy,16.34,2.9,1.34,7.79,1.0,75.0,hot
easy,14.56,3.73,1.21,9.04,0.9705,75.0,hot
easy,15.26,3.78,1.16,8.8,1.0,75.0,hot
easy,14.06,2.78,1.25,6.91,0.9373,75.0,hot
easy,13.43,3.32,1.15,7.61,0.8956,75.0,hot
easy,16.15,1.8,1.12,4.04,1.0,75.0,hot
easy,13.31,2.59,1.22,6.34,0.8876,75.0,hot
easy,14.82,2.87,1.18,6.8,0.9881,75.0,hot
easy,15.2,2.5,1.27,6.34,1.0,75.0,hot
easy,15.66,3.19,1.26,8.02,1.0,75.0,hot
easy,15.3,4.02,1.19,9.57,1.0,75.0,hot
easy,14.69,2.62,1.1,5.75,0.9795,75.0,hot
easy,13.76,2.56,1.19,6.1,0.917,75.0,hot
easy,15.33,3.03,1.12,6.8,1.0,75.0,hot
easy,15.9,3.37,1.18,7.98,1.0,75.0,hot
easy,14.35,3.27,1.22,7.98,0.9565,75.0,hot
easy,13.55,2.97,1.23,7.27,0.9035,75.0,hot
easy,14.1,3.09,1.05,6.53,0.94,75.0,hot
easy,16.34,3.62,1.17,8.51,1.0,75.0,hot
easy,15.36,1.8,1.08,3.89,1.0,75.0,hot
easy,14.71,2.46,1.27,6.27,0.9804,75.0,hot
easy,17.0,2.41,1.12,5.38,1.0,75.0,hot
easy,15.24,3.81,1.08,8.2,1.0,75.0,hot
easy,15.25,3.91,1.03,8.09,1.0,75.0,hot
easy,13.72,2.79,1.15,6.4,0.9146,75.0,hot
easy,15.81,3.12,1.02,6.38,1.0,75.0,hot
easy,15.52,2.71,1.33,7.2,1.0,75.0,hot
easy,14.37,2.68,1.25,6.73,0.9582,75.0,hot
easy,15.76,3.22,1.03,6.65,1.0,75.0,hot
easy,15.54,2.48,1.22,6.08,1.0,75.0,hot
easy,13.58,3.22,1.12,7.22,0.9051,75.0,hot
easy,13.72,3.36,1.22,8.22,0.9145,75.0,hot
easy,14.39,3.73,1.16,8.61,0.9591,75.0,hot
easy,15.03,3.13,1.14,7.13,1.0,75.0,hot
easy,15.47,2.73,1.16,6.33,1.0,75.0,hot
easy,16.36,2.48,1.0,4.96,1.0,75.0,hot
easy,16.61,4.27,1.16,9.91,1.0,75.0,hot
easy,13.06,2.84,1.17,6.66,0.8709,75.0,hot
easy,14.81,2.44,1.26,6.15,0.9873,75.0,hot
easy,15.52,2.25,1.27,5.72,1.0,75.0,hot
easy,17.05,3.09,1.17,7.2,1.0,75.0,hot
easy,14.86,3.31,1.03,6.79,0.9905,75.0,hot
easy,15.16,2.8,1.38,7.77,1.0,75.0,hot
easy,14.83,3.83,1.09,8.36,0.9884,75.0,hot
easy,15.59,3.16,1.11,7.03,1.0,75.0,hot
easy,15.18,3.61,1.17,8.42,1.0,75.0,hot
easy,13.31,2.99,1.11,6.64,0.8872,75.0,hot
easy,14.66,2.96,1.03,6.09,0.9772,75.0,hot
easy,13.38,3.24,1.15,7.44,0.8923,75.0,hot
easy,12.44,3.39,1.23,8.33,0.829,75.0,hot
easy,14.29,2.34,1.28,6.01,0.9524,75.0,hot
easy,15.35,4.19,1.24,10.41,1.0,75.0,hot
easy,15.39,2.92,1.28,7.48,1.0,75.0,hot
easy,15.63,3.63,1.15,8.32,1.0,75.0,hot
easy,14.56,2.76,1.28,7.06,0.971,75.0,hot
easy,16.5,2.77,1.16,6.41,1.0,75.0,hot
easy,15.31,2.88,1.3,7.45,1.0,75.0,hot
easy,12.75,2.59,1.12,5.8,0.8499,75.0,hot
easy,12.68,2.52,1.11,5.58,0.8453,75.0,hot
easy,14.8,3.56,1.18,8.36,0.9866,75.0,hot
easy,13.97,2.97,1.3,7.76,0.9313,75.0,hot
easy,14.02,2.54,1.26,6.39,0.9349,75.0,hot
easy,14.78,3.32,1.2,7.97,0.9852,75.0,hot
easy,15.7,2.48,1.2,5.95,1.0,75.0,hot
easy,14.79,2.39,1.04,4.99,0.986,75.0,hot
easy,15.69,2.82,1.1,6.2,1.0,75.0,hot
easy,14.9,3.56,1.0,7.13,0.9936,75.0,hot
easy,13.5,2.54,1.35,6.83,0.9002,75.0,hot
easy,15.28,3.38,1.09,7.35,1.0,75.0,hot
easy,13.88,3.22,1.21,7.77,0.9254,75.0,hot
easy,15.55,2.91,1.23,7.14,1.0,75.0,hot
easy,15.16,3.39,1.28,8.68,1.0,75.0,hot
easy,13.38,1.88,1.3,4.88,0.892,75.0,hot
easy,16.19,2.49,1.01,5.05,1.0,75.0,hot
easy,15.1,3.47,1.38,9.56,1.0,75.0,hot
easy,15.52,2.81,1.11,6.25,1.0,75.0,hot
easy,15.01,2.85,1.1,6.26,1.0,75.0,hot
easy,17.05,3.89,1.31,10.23,1.0,75.0,hot
easy,14.08,3.43,1.26,8.66,0.9386,75.0,hot
easy,15.44,3.62,1.26,9.16,1.0,75.0,hot
easy,15.74,3.32,1.23,8.19,1.0,75.0,hot
easy,13.22,3.04,1.14,6.96,0.8811,75.0,hot
easy,13.72,3.84,1.37,10.55,0.9147,75.0,hot
easy,16.36,3.13,1.34,8.35,1.0,75.0,hot
easy,15.01,3.1,1.09,6.77,1.0,75.0,hot
easy,15.4,3.03,1.07,6.48,1.0,75.0,hot
easy,14.95,2.96,1.38,8.17,0.9966,75.0,hot
easy,15.89,3.01,1.22,7.36,1.0,75.0,hot
easy,15.04,2.9,1.09,6.33,1.0,75.0,hot
easy,14.85,2.63,1.07,5.65,0.9899,75.0,hot
easy,15.51,3.2,1.02,6.53,1.0,75.0,hot
easy,14.88,3.5,1.31,9.14,0.9918,75.0,hot
easy,16.03,3.02,1.12,6.74,1.0,75.0,hot
easy,13.92,3.17,1.24,7.85,0.9278,75.0,hot
easy,16.29,3.55,1.19,8.43,1.0,75.0,hot
easy,13.76,2.84,1.22,6.94,0.9171,75.0,hot
easy,14.8,2.71,1.23,6.64,0.9865,75.0,hot
easy,14.5,2.69,1.23,6.61,0.9664,75.0,hot
easy,14.6,3.12,1.23,7.66,0.9732,75.0,hot
easy,13.86,2.76,1.34,7.42,0.924,75.0,hot
easy,13.84,1.94,1.01,3.94,0.9225,75.0,hot
easy,15.03,3.02,1.19,7.17,1.0,75.0,hot
easy,16.21,1.66,1.24,4.12,1.0,75.0,hot
easy,16.56,2.44,1.16,5.66,1.0,75.0,hot
easy,14.25,2.55,1.17,5.96,0.9498,75.0,hot
easy,16.43,3.92,1.17,9.14,1.0,75.0,hot
easy,16.91,3.02,1.38,8.3,1.0,75.0,hot
easy,14.91,3.07,1.24,7.58,0.9938,75.0,hot
easy,18.18,3.43,1.13,7.74,1.0,75.0,hot
easy,15.97,2.82,1.15,6.49,1.0,75.0,hot
easy,15.91,3.02,1.23,7.41,1.0,75.0,hot
easy,15.01,3.17,1.24,7.87,1.0,75.0,hot
easy,13.06,3.33,1.1,7.35,0.8709,75.0,hot
easy,13.56,2.97,1.21,7.18,0.9038,75.0,hot
easy,14.31,3.42,1.07,7.28,0.9538,75.0,hot
easy,14.59,2.71,1.2,6.47,0.9729,75.0,hot
easy,15.28,2.5,1.27,6.35,1.0,75.0,hot
easy,15.06,2.05,1.0,4.13,1.0,75.0,hot
easy,14.99,2.89,1.19,6.88,0.9992,75.0,hot
easy,14.97,3.11,1.29,8.06,0.9981,75.0,hot
easy,13.89,2.41,1.09,5.27,0.9259,75.0,hot
easy,15.29,3.62,1.16,8.38,1.0,75.0,hot
easy,12.5,2.15,1.12,4.8,0.8332,75.0,hot
easy,14.44,2.8,1.2,6.73,0.9628,75.0,hot
easy,14.69,3.52,1.13,7.98,0.9792,75.0,hot
easy,14.14,3.24,1.05,6.78,0.9425,75.0,hot
easy,15.39,3.05,1.19,7.23,1.0,75.0,hot
easy,16.59,2.69,1.41,7.56,1.0,75.0,hot
easy,14.77,2.36,1.21,5.7,0.985,75.0,hot
easy,13.92,2.62,1.24,6.51,0.9283,75.0,hot
easy,15.56,2.69,1.3,6.98,1.0,75.0,hot
easy,16.16,3.72,1.25,9.32,1.0,75.0,hot
easy,16.36,2.06,1.17,4.81,1.0,75.0,hot
easy,14.13,3.06,1.14,6.99,0.9422,75.0,hot
easy,14.83,3.94,1.18,9.32,0.9889,75.0,hot
easy,15.41,2.88,1.21,6.96,1.0,75.0,hot
easy,15.01,3.22,1.32,8.49,1.0,75.0,hot
easy,16.65,3.15,1.26,7.94,1.0,75.0,hot
easy,13.85,2.96,1.29,7.65,0.9233,75.0,hot
easy,15.87,3.11,1.29,8.0,1.0,75.0,hot
easy,15.49,3.6,1.23,8.85,1.0,75.0,hot
easy,14.64,3.17,1.0,6.34,0.9763,75.0,hot
easy,15.38,1.18,1.03,2.42,1.0,75.0,hot
easy,15.45,3.24,1.08,7.02,1.0,75.0,hot
easy,14.29,3.69,1.15,8.49,0.9525,75.0,hot
easy,17.24,3.0,1.24,7.44,1.0,75.0,hot
easy,16.62,3.07,1.1,6.74,1.0,75.0,hot
easy,14.89,2.98,1.06,6.34,0.9927,75.0,hot
easy,14.74,2.63,1.29,6.8,0.9829,75.0,hot
easy,15.03,2.86,1.19,6.8,1.0,75.0,hot
easy,15.22,3.31,1.1,7.28,1.0,75.0,hot
easy,13.96,3.55,1.16,8.23,0.9306,75.0,hot
easy,13.58,3.22,1.25,8.03,0.9055,75.0,hot
easy,13.47,3.11,1.27,7.93,0.898,75.0,hot
easy,15.37,3.32,1.06,7.03,1.0,75.0,hot
easy,15.33,2.85,1.15,6.56,1.0,75.0,hot
easy,15.87,3.74,1.38,10.32,1.0,75.0,hot
easy,16.31,2.95,1.24,7.28,1.0,75.0,hot
easy,15.77,3.06,1.21,7.43,1.0,75.0,hot
easy,15.82,2.97,1.13,6.7,1.0,75.0,hot
easy,14.59,3.32,1.2,7.96,0.9724,75.0,hot
easy,15.34,3.34,1.16,7.75,1.0,75.0,hot
easy,15.76,3.19,1.08,6.87,1.0,75.0,hot
easy,16.44,2.75,1.03,5.69,1.0,75.0,hot
easy,13.95,2.49,1.21,6.0,0.9303,75.0,hot
easy,14.73,2.83,1.26,7.15,0.9817,75.0,hot
easy,15.34,3.16,1.24,7.84,1.0,75.0,hot
easy,15.62,1.95,1.16,4.53,1.0,75.0,hot
easy,12.82,3.02,1.2,7.24,0.8547,75.0,hot
easy,16.05,3.59,1.22,8.77,1.0,75.0,hot
easy,14.5,3.24,1.15,7.44,0.9666,75.0,hot
easy,15.0,3.49,1.14,7.99,0.9999,75.0,hot
easy,15.81,3.34,1.1,7.38,1.0,75.0,hot
easy,15.97,3.35,1.21,8.11,1.0,75.0,hot
easy,14.24,2.57,1.15,5.89,0.9492,75.0,hot
easy,15.54,2.52,1.24,6.27,1.0,75.0,hot
easy,13.76,2.9,1.21,7.02,0.9172,75.0,hot
easy,17.45,2.31,1.35,6.23,1.0,75.0,hot
easy,15.15,3.21,1.21,7.77,1.0,75.0,hot
easy,15.44,2.92,1.35,7.87,1.0,75.0,hot
easy,14.54,3.57,1.14,8.1,0.9696,75.0,hot
easy,14.94,2.46,1.25,6.14,0.996,75.0,hot
easy,16.45,2.96,1.18,6.99,1.0,75.0,hot
easy,13.89,2.89,1.04,6.01,0.9257,75.0,hot
easy,14.09,3.11,1.33,8.29,0.9391,75.0,hot
easy,17.81,2.71,1.34,7.27,1.0,75.0,hot
easy,15.24,2.92,1.24,7.27,1.0,75.0,hot
easy,15.06,3.06,1.16,7.08,1.0,75.0,hot
easy,13.6,2.23,1.27,5.64,0.9068,75.0,hot
easy,14.72,2.7,1.2,6.49,0.9816,75.0,hot
easy,15.79,3.09,1.13,7.01,1.0,75.0,hot
easy,16.23,3.79,1.25,9.47,1.0,75.0,hot
easy,15.97,3.62,1.31,9.51,1.0,75.0,hot
easy,15.61,3.3,1.25,8.26,1.0,75.0,hot
easy,13.9,3.35,1.06,7.13,0.9268,75.0,hot
easy,14.21,3.65,1.28,9.38,0.947,75.0,hot
easy,16.49,2.86,1.08,6.21,1.0,75.0,hot
easy,14.76,3.05,1.21,7.37,0.984,75.0,hot
easy,16.13,2.82,1.24,6.96,1.0,75.0,hot
easy,14.01,3.23,1.2,7.74,0.9341,75.0,hot
easy,14.25,2.88,1.18,6.81,0.95,75.0,hot
easy,14.73,3.89,1.19,9.25,0.982,75.0,hot
easy,14.76,1.95,1.11,4.33,0.9837,75.0,hot
easy,14.74,2.66,1.34,7.11,0.9825,75.0,hot
easy,14.84,3.64,1.21,8.79,0.989,75.0,hot
easy,15.04,2.96,1.2,7.1,1.0,75.0,hot
easy,16.72,1.84,1.0,3.68,1.0,75.0,hot
easy,14.46,3.01,1.27,7.63,0.9638,75.0,hot
easy,15.47,2.81,1.3,7.31,1.0,75.0,hot
easy,16.03,3.09,1.3,8.02,1.0,75.0,hot
easy,15.27,2.72,1.27,6.91,1.0,75.0,hot
easy,15.11,3.0,1.35,8.09,1.0,75.0,hot
easy,12.55,2.29,1.08,4.95,0.8366,75.0,hot
easy,14.64,2.87,1.05,6.03,0.9758,75.0,hot
easy,14.01,2.57,1.45,7.43,0.9343,75.0,hot
easy,16.8,2.79,1.16,6.5,1.0,75.0,hot
easy,13.85,2.05,1.19,4.86,0.9234,75.0,hot
easy,14.0,2.96,1.04,6.15,0.9335,75.0,hot
easy,14.24,3.07,1.24,7.6,0.9492,75.0,hot
easy,15.42,2.34,1.29,6.02,1.0,75.0,hot
easy,14.2,3.32,1.2,7.95,0.9467,75.0,hot
easy,13.62,2.84,1.24,7.03,0.9082,75.0,hot
easy,15.61,2.93,1.35,7.93,1.0,75.0,hot
easy,16.01,2.87,1.28,7.32,1.0,75.0,hot
easy,16.93,3.98,1.08,8.58,1.0,75.0,hot
easy,14.07,3.74,1.09,8.19,0.9382,75.0,hot
easy,13.68,2.76,1.24,6.85,0.9118,75.0,hot
easy,14.9,2.67,1.13,6.06,0.9932,75.0,hot
easy,14.29,2.56,1.43,7.31,0.9525,75.0,hot
easy,15.3,3.44,1.15,7.93,1.0,75.0,hot
easy,14.81,2.64,1.0,5.29,0.9876,75.0,hot
easy,13.62,2.09,1.0,4.19,0.9081,75.0,hot
easy,13.8,3.66,1.2,8.76,0.9203,75.0,hot
easy,16.29,3.21,1.28,8.19,1.0,75.0,hot
easy,14.1,3.26,1.27,8.3,0.9399,75.0,hot
easy,14.42,3.28,1.26,8.24,0.9616,75.0,hot
easy,14.45,2.44,1.08,5.28,0.9634,75.0,hot
easy,15.09,3.16,1.12,7.09,1.0,75.0,hot
easy,15.03,3.29,1.26,8.29,1.0,75.0,hot
easy,16.55,3.64,1.1,8.0,1.0,75.0,hot
easy,16.68,2.73,1.3,7.13,1.0,75.0,hot
easy,15.07,2.79,1.02,5.7,1.0,75.0,hot
easy,14.83,2.22,1.3,5.76,0.9886,75.0,hot
easy,16.52,2.6,1.23,6.4,1.0,75.0,hot
easy,14.27,2.69,1.28,6.86,0.9516,75.0,hot
easy,14.96,3.87,1.15,8.91,0.9974,75.0,hot
easy,16.0,3.05,1.28,7.8,1.0,75.0,hot
easy,14.55,2.98,1.19,7.07,0.9702,75.0,hot
easy,14.16,3.33,1.27,8.43,0.9443,75.0,hot
easy,15.59,3.77,1.34,10.14,1.0,75.0,hot
easy,14.63,3.19,1.14,7.25,0.975,75.0,hot
easy,15.02,2.7,1.36,7.36,1.0,75.0,hot
easy,15.36,2.89,1.32,7.63,1.0,75.0,hot
easy,12.83,1.99,1.28,5.1,0.8553,75.0,hot
easy,15.06,3.13,1.07,6.67,1.0,75.0,hot
easy,14.98,4.0,1.28,10.26,0.9985,75.0,hot
easy,15.17,2.78,1.16,6.45,1.0,75.0,hot
easy,12.87,3.13,1.28,8.04,0.8581,75.0,hot
easy,13.42,2.67,1.08,5.79,0.895,75.0,hot
easy,14.03,3.03,1.0,6.05,0.9356,75.0,hot
easy,15.61,3.38,1.17,7.94,1.0,75.0,hot
easy,12.52,2.5,1.32,6.62,0.8346,75.0,hot
easy,12.22,2.83,1.08,6.12,0.8148,75.0,hot
easy,15.8,2.66,1.24,6.6,1.0,75.0,hot
easy,15.57,3.92,1.18,9.24,1.0,75.0,hot
easy,15.38,2.26,1.32,5.96,1.0,75.0,hot
easy,14.24,2.72,1.2,6.51,0.9493,75.0,hot
easy,13.44,3.11,1.3,8.08,0.8958,75.0,hot
easy,15.29,2.21,1.19,5.24,1.0,75.0,hot
easy,15.74,2.06,1.09,4.5,1.0,75.0,hot
easy,15.88,3.14,1.24,7.78,1.0,75.0,hot
easy,16.86,3.23,1.27,8.19,1.0,75.0,hot
easy,17.71,2.89,1.12,6.48,1.0,75.0,hot
easy,15.43,3.22,1.15,7.39,1.0,75.0,hot
easy,13.97,4.15,1.23,10.24,0.9312,75.0,hot
easy,14.27,3.46,1.19,8.22,0.9512,75.0,hot
easy,14.75,3.28,1.07,7.03,0.9831,75.0,hot
easy,15.35,3.96,1.25,9.86,1.0,75.0,hot
easy,14.62,2.75,1.16,6.37,0.9749,75.0,hot
easy,14.75,2.81,1.29,7.26,0.9831,75.0,hot
easy,13.27,3.43,1.16,7.97,0.8845,75.0,hot
easy,15.38,2.44,1.33,6.5,1.0,75.0,hot
